training_type,data_name,max_iter,n_particle,exec,score_train,score_test,score_val
training_exchange_layers_e,breast,40,20,145.47340910000003,0.04271356783919598,0.017543859649122806,0.017543859649122806
training_exchange_layers_e,breast,40,40,248.60175920000006,0.052763819095477386,0.017543859649122806,0.05263157894736842
training_exchange_layers_e,breast,40,60,352.9757769999999,0.02763819095477387,0.017543859649122806,0.03508771929824561
training_exchange_layers_e,breast,40,80,457.38553349999984,0.05778894472361809,0.03508771929824561,0.0
training_exchange_layers_e,breast,40,100,560.9401320000002,0.04271356783919598,0.008771929824561403,0.017543859649122806
training_exchange_layers_e,breast,60,20,215.26807970000027,0.04773869346733668,0.043859649122807015,0.05263157894736842
training_exchange_layers_e,breast,60,40,367.50392699999975,0.052763819095477386,0.017543859649122806,0.017543859649122806
training_exchange_layers_e,breast,60,60,522.3274192000003,0.04522613065326633,0.017543859649122806,0.017543859649122806
training_exchange_layers_e,breast,60,80,675.2806917999997,0.022613065326633167,0.017543859649122806,0.017543859649122806
training_exchange_layers_e,breast,60,100,830.3324919000006,0.035175879396984924,0.043859649122807015,0.017543859649122806
training_exchange_layers_e,breast,80,20,280.80666629999996,0.032663316582914576,0.043859649122807015,0.017543859649122806
training_exchange_layers_e,breast,80,40,484.94376490000013,0.052763819095477386,0.017543859649122806,0.03508771929824561
training_exchange_layers_e,breast,80,60,680.6843417,0.03015075376884422,0.017543859649122806,0.017543859649122806
training_exchange_layers_e,breast,80,80,912.6113973000001,0.02512562814070352,0.03508771929824561,0.03508771929824561
training_exchange_layers_e,breast,80,100,1095.3593469999996,0.04271356783919598,0.02631578947368421,0.017543859649122806
training_exchange_layers_e,breast,100,20,350.1660424999991,0.06281407035175879,0.043859649122807015,0.03508771929824561
training_exchange_layers_e,breast,100,40,605.4143995999984,0.035175879396984924,0.017543859649122806,0.05263157894736842
training_exchange_layers_e,breast,100,60,856.863068300001,0.04522613065326633,0.017543859649122806,0.03508771929824561
training_exchange_layers_e,breast,100,80,1112.9035490999995,0.035175879396984924,0.017543859649122806,0.05263157894736842
training_exchange_layers_e,breast,100,100,1364.2936265000008,0.04020100502512563,0.017543859649122806,0.017543859649122806
training_exchange_layers_e,breast,500,20,1727.5524098000005,0.020100502512562814,0.0,0.017543859649122806
training_exchange_layers_e,breast,500,40,2992.311412500001,0.035175879396984924,0.008771929824561403,0.05263157894736842
training_exchange_layers_e,breast,500,60,4226.6838972000005,0.017587939698492462,0.008771929824561403,0.03508771929824561
training_exchange_layers_e,breast,500,80,5501.941944400001,0.010050251256281407,0.0,0.017543859649122806
training_exchange_layers_e,breast,500,100,6734.568429799998,0.01507537688442211,0.008771929824561403,0.0
training_exchange_layers_e,breast,1000,20,3514.355677599997,0.02512562814070352,0.017543859649122806,0.0
training_exchange_layers_e,breast,1000,40,5959.754213,0.010050251256281407,0.017543859649122806,0.017543859649122806
training_exchange_layers_e,breast,1000,60,8399.936411400002,0.002512562814070352,0.0,0.0
training_exchange_layers_e,breast,1000,80,10843.9320246,0.03015075376884422,0.017543859649122806,0.017543859649122806
training_exchange_layers_e,breast,1000,100,13245.149945699999,0.0,0.008771929824561403,0.0
no_individual_layers,breast,20,20,56.93823329999941,0.6407035175879398,0.5701754385964912,0.6491228070175439
no_individual_layers,breast,20,40,104.80167000000074,0.3165829145728643,0.35964912280701755,0.2982456140350877
no_individual_layers,breast,20,60,153.3362070999974,0.5477386934673367,0.4473684210526316,0.631578947368421
no_individual_layers,breast,20,80,202.9211714999983,0.271356783919598,0.30701754385964913,0.17543859649122806
no_individual_layers,breast,20,100,251.38463510000292,0.7613065326633166,0.7456140350877193,0.8596491228070176
no_individual_layers,breast,40,20,104.27279169999747,0.6005025125628141,0.5789473684210527,0.6666666666666666
no_individual_layers,breast,40,40,200.97658539999975,0.6758793969849246,0.6929824561403509,0.631578947368421
no_individual_layers,breast,40,60,299.7371127000006,0.6432160804020101,0.5964912280701754,0.6842105263157895
no_individual_layers,breast,40,80,394.5253825999971,0.3417085427135678,0.38596491228070173,0.2982456140350877
no_individual_layers,breast,40,100,489.35278760000074,0.635678391959799,0.5701754385964912,0.6842105263157895
no_individual_layers,breast,60,20,157.07486720000088,0.37185929648241206,0.4298245614035088,0.3157894736842105
no_individual_layers,breast,60,40,303.45312660000127,0.6959798994974874,0.6754385964912281,0.7192982456140351
no_individual_layers,breast,60,60,444.8052424000016,0.635678391959799,0.5701754385964912,0.6842105263157895
no_individual_layers,breast,60,80,582.1249948000004,0.628140703517588,0.5614035087719298,0.6666666666666666
